id;calendar;date;dateandtime;day_name;dayofmonth;month;month_name;quarter;quarter_name;time;weekofmonth;year
1;;;;;1;1;January;;Q1;;;2006
2;;;;;1;1;January;;Q1;;;2007
3;;;;;1;1;January;;Q1;;;2008
4;;;;;1;1;January;;Q1;;;2009
5;;;;;1;1;January;;Q1;;;2010
6;;;;;1;1;January;;Q1;;;2011
7;;;;;1;2;February;;Q1;;;2006
8;;;;;1;2;February;;Q1;;;2007
9;;;;;1;2;February;;Q1;;;2008
10;;;;;1;2;February;;Q1;;;2009
11;;;;;1;2;February;;Q1;;;2010
12;;;;;1;2;February;;Q1;;;2011
13;;;;;1;3;March;;Q1;;;1957
14;;;;;1;3;March;;Q1;;;2006
15;;;;;1;3;March;;Q1;;;2007
16;;;;;1;3;March;;Q1;;;2008
17;;;;;1;3;March;;Q1;;;2009
18;;;;;1;3;March;;Q1;;;2010
19;;;;;1;3;March;;Q1;;;2011
20;;;;;1;4;April;;Q2;;;2006
21;;;;;1;4;April;;Q2;;;2007
22;;;;;1;4;April;;Q2;;;2008
23;;;;;1;4;April;;Q2;;;2009
24;;;;;1;4;April;;Q2;;;2010
25;;;;;1;5;May;;Q2;;;1979
26;;;;;1;5;May;;Q2;;;2006
27;;;;;1;5;May;;Q2;;;2007
28;;;;;1;5;May;;Q2;;;2008
29;;;;;1;5;May;;Q2;;;2009
30;;;;;1;5;May;;Q2;;;2010
31;;;;;1;6;June;;Q2;;;1956
32;;;;;1;6;June;;Q2;;;2006
33;;;;;1;6;June;;Q2;;;2007
34;;;;;1;6;June;;Q2;;;2008
35;;;;;1;6;June;;Q2;;;2009
36;;;;;1;6;June;;Q2;;;2010
37;;;;;1;7;July;;Q3;;;2006
38;;;;;1;7;July;;Q3;;;2007
39;;;;;1;7;July;;Q3;;;2008
40;;;;;1;7;July;;Q3;;;2009
41;;;;;1;7;July;;Q3;;;2010
42;;;;;1;8;August;;Q3;;;2005
43;;;;;1;8;August;;Q3;;;2006
44;;;;;1;8;August;;Q3;;;2007
45;;;;;1;8;August;;Q3;;;2008
46;;;;;1;8;August;;Q3;;;2009
47;;;;;1;8;August;;Q3;;;2010
48;;;;;1;9;September;;Q3;;;1956
49;;;;;1;9;September;;Q3;;;2005
50;;;;;1;9;September;;Q3;;;2006
51;;;;;1;9;September;;Q3;;;2007
52;;;;;1;9;September;;Q3;;;2008
53;;;;;1;9;September;;Q3;;;2009
54;;;;;1;9;September;;Q3;;;2010
55;;;;;1;10;October;;Q4;;;2005
56;;;;;1;10;October;;Q4;;;2006
57;;;;;1;10;October;;Q4;;;2007
58;;;;;1;10;October;;Q4;;;2008
59;;;;;1;10;October;;Q4;;;2009
60;;;;;1;10;October;;Q4;;;2010
61;;;;;1;11;November;;Q4;;;2005
62;;;;;1;11;November;;Q4;;;2006
63;;;;;1;11;November;;Q4;;;2007
64;;;;;1;11;November;;Q4;;;2008
65;;;;;1;11;November;;Q4;;;2009
66;;;;;1;11;November;;Q4;;;2010
67;;;;;1;12;December;;Q4;;;2005
68;;;;;1;12;December;;Q4;;;2006
69;;;;;1;12;December;;Q4;;;2007
70;;;;;1;12;December;;Q4;;;2008
71;;;;;1;12;December;;Q4;;;2009
72;;;;;1;12;December;;Q4;;;2010
73;;;;;5;5;May;;Q2;;;2011
74;;;;;6;5;May;;Q2;;;2011
75;;;;;9;5;May;;Q2;;;2011
